emp_no,to_date,first_name,last_name,title
10641,1/1/9999,Guozhong,Zucker,Engineer
10642,1/1/9999,Hirochika,Narlikar,Engineer
10653,1/1/9999,Otmar,Feinberg,Senior Engineer
10667,1/1/9999,Makato,Cusworth,Senior Staff
10671,1/1/9999,Parviz,Rebaine,Senior Staff
10676,1/1/9999,Valeri,Danley,Engineer
10683,1/1/9999,Guiseppe,Stranks,Senior Engineer
10693,1/1/9999,Berhard,Daescu,Senior Staff
10696,1/1/9999,Unal,Fendler,Technique Leader
10702,1/1/9999,Bader,Szemeredi,Senior Engineer
10712,1/1/9999,Uma,Koprowski,Senior Engineer
10718,1/1/9999,Adib,Rullman,Senior Engineer
10726,1/1/9999,Zita,Minakawa,Senior Engineer
10734,1/1/9999,Sachar,Erdi,Engineer
10741,1/1/9999,Sven,Huttel,Senior Staff
10742,1/1/9999,Shim,Wiegley,Technique Leader
10745,1/1/9999,Poorav,Ranze,Senior Engineer
10749,1/1/9999,King,Brendel,Senior Engineer
10750,1/1/9999,Roddy,Demeyer,Technique Leader
10764,1/1/9999,Yunming,Beetstra,Senior Engineer
10767,1/1/9999,Monique,Doering,Staff
10768,1/1/9999,Ishfaq,Candan,Senior Engineer
10778,1/1/9999,Selwyn,Merey,Senior Staff
10791,1/1/9999,Tadahiko,Sgarro,Senior Engineer
10795,1/1/9999,Supot,Naudin,Senior Staff
10808,1/1/9999,Chenxi,Leijenhorst,Senior Engineer
10811,1/1/9999,Ashish,Fortenbacher,Engineer
10813,1/1/9999,Shalesh,Shumilov,Senior Staff
10814,1/1/9999,Nidapan,Dymetman,Senior Staff
10826,1/1/9999,Arnd,Anandan,Senior Engineer
10827,1/1/9999,Willard,Danley,Staff
10830,1/1/9999,Fen,Fiebach,Senior Staff
10831,1/1/9999,Toong,Driscoll,Technique Leader
10833,1/1/9999,Krisda,Gecseg,Technique Leader
10834,1/1/9999,Huiqun,Rajcani,Engineer
10835,1/1/9999,Tomoyuki,Kermarrec,Engineer
10836,1/1/9999,Jianhua,Leivant,Senior Staff
10844,1/1/9999,Dipayan,Koprowski,Engineer
10846,1/1/9999,Tokuyasu,Serre,Senior Engineer
10847,1/1/9999,Theirry,Danley,Senior Staff
10848,1/1/9999,Fen,Bratsberg,Senior Engineer
10849,1/1/9999,Makato,Mayerwieser,Engineer
10854,1/1/9999,Jagoda,Nannarelli,Engineer
10858,1/1/9999,Kenroku,Gonthier,Senior Engineer
10871,1/1/9999,Aram,Gilg,Staff
10872,1/1/9999,Karoline,Speel,Senior Staff
10873,1/1/9999,Sukumar,Wegerle,Staff
10878,1/1/9999,Lakshmi,Deville,Staff
10879,1/1/9999,Muzhong,Chleq,Senior Engineer
10882,1/1/9999,Fun,Heuser,Engineer
10883,1/1/9999,Shimshon,Champarnaud,Engineer
10885,1/1/9999,Rayond,Cronau,Senior Staff
10887,1/1/9999,Lunjin,DeMori,Senior Engineer
10900,1/1/9999,Ferdinand,Prenel,Senior Engineer
10906,1/1/9999,Munehiro,Carrere,Staff
10909,1/1/9999,Georgi,Atchley,Senior Engineer
10913,1/1/9999,Narain,Thummel,Staff
10920,1/1/9999,Ronghao,Narahara,Senior Staff
10921,1/1/9999,Mara,Bahi,Senior Engineer
10924,1/1/9999,Hironoby,Atchley,Senior Staff
10926,1/1/9999,Leni,Eppinger,Senior Engineer
10927,1/1/9999,Gal,Scallan,Senior Staff
10930,1/1/9999,Arch,Minakawa,Senior Engineer
10932,1/1/9999,Avishai,Picci,Senior Engineer
10936,1/1/9999,Mountaz,Schicker,Senior Staff
10942,1/1/9999,Toshimitsu,Larfeldt,Engineer
10943,1/1/9999,Berna,Skafidas,Senior Engineer
10944,1/1/9999,Remko,Zyda,Senior Engineer
10947,1/1/9999,Gor,Usery,Senior Staff
10949,1/1/9999,Shigeichiro,Wroclawski,Senior Staff
10956,1/1/9999,Arno,Picel,Engineer
10965,1/1/9999,Eckart,Braunschweig,Senior Staff
10969,1/1/9999,Premal,Noriega,Senior Engineer
10974,1/1/9999,Muneo,Papsdorf,Senior Engineer
10986,1/1/9999,Masako,Schiper,Technique Leader
10987,1/1/9999,Flemming,Baezner,Engineer
10988,1/1/9999,Chinya,Deyuan,Senior Engineer
10989,1/1/9999,Sumali,Candan,Senior Staff
10990,1/1/9999,Shin,Foote,Technique Leader
10996,1/1/9999,Matk,Rahimi,Senior Staff
11004,1/1/9999,JoAnna,Decleir,Senior Engineer
11009,1/1/9999,Alper,Axelband,Senior Staff
11012,1/1/9999,Taegyun,Speckmann,Staff
11019,1/1/9999,Leon,Huttel,Senior Engineer
11021,1/1/9999,Srinidhi,Henders,Staff
11027,1/1/9999,Remzi,Cappello,Senior Engineer
11031,1/1/9999,Ottavia,Walstra,Senior Staff
11032,1/1/9999,Erez,Schaaf,Staff
11037,1/1/9999,Lansing,Maliniak,Senior Engineer
11038,1/1/9999,Jinya,Beidas,Senior Staff
11042,1/1/9999,Gou,Breugel,Senior Engineer
11048,1/1/9999,Jaques,Demke,Senior Staff
11050,1/1/9999,Elvis,Katiyar,Senior Staff
11051,1/1/9999,Przemyslawa,Erol,Senior Engineer
11056,1/1/9999,Palash,Speel,Staff
11061,1/1/9999,Pintsang,Erni,Senior Staff
11064,1/1/9999,Shawna,Vieri,Senior Engineer
11066,1/1/9999,Shaz,Langford,Senior Staff
11070,1/1/9999,Adib,Raney,Senior Engineer
11071,1/1/9999,Kwan,Sigstam,Senior Engineer
11075,1/1/9999,Karsten,Belinskaya,Senior Engineer
11079,1/1/9999,Piyush,Garigliano,Senior Engineer
11081,1/1/9999,Barry,Boyle,Senior Staff
11083,1/1/9999,Shimshon,Ducloy,Senior Staff
11084,1/1/9999,Greger,Senzako,Senior Engineer
11085,1/1/9999,Hailing,Thummel,Senior Engineer
11087,1/1/9999,Changho,Jayawardene,Senior Engineer
11089,1/1/9999,Conal,Henders,Senior Staff
11091,1/1/9999,Souichi,Ramsay,Engineer
11092,1/1/9999,Narain,Stamatiou,Staff
11098,1/1/9999,Arnd,Covnot,Engineer
11100,1/1/9999,Berna,Cochrane,Senior Staff
11106,1/1/9999,Aris,Iwayama,Senior Engineer
11111,1/1/9999,Udi,Zastre,Assistant Engineer
11112,1/1/9999,Boaz,Mukaidono,Staff
11113,1/1/9999,Shahab,Peng,Senior Staff
11121,1/1/9999,Vugranam,Kakkad,Senior Engineer
11130,1/1/9999,Xinyu,Menhoudj,Senior Staff
11132,1/1/9999,Kristin,Harnett,Senior Engineer
11133,1/1/9999,Nalini,Azulay,Technique Leader
11134,1/1/9999,Sachar,Rajcani,Senior Engineer
11137,1/1/9999,Hugh,Luca,Engineer
11139,1/1/9999,Bogdan,Homond,Senior Staff
11143,1/1/9999,Yongdong,Rosen,Engineer
11144,1/1/9999,Carrsten,Heinisuo,Senior Staff
11146,1/1/9999,Ishfaq,Masand,Senior Staff
11147,1/1/9999,Ayonca,Nitsch,Engineer
11148,1/1/9999,Zhanqiu,Botman,Senior Staff
11158,1/1/9999,Masaki,Hagimont,Senior Engineer
11162,1/1/9999,Kauko,Narlikar,Senior Engineer
11168,1/1/9999,Shmuel,Tetzlaff,Senior Staff
11170,1/1/9999,Minghong,Cannard,Senior Engineer
11174,1/1/9999,Akhilish,Milicia,Engineer
11177,1/1/9999,Chrisa,dAstous,Senior Engineer
11180,1/1/9999,Mitsuyuki,Bojadziev,Senior Engineer
11181,1/1/9999,Hausi,Cullers,Engineer
11185,1/1/9999,Aloys,Baezner,Senior Staff
11186,1/1/9999,Kshitij,Stasinski,Senior Engineer
11189,1/1/9999,Dante,Bodoff,Senior Staff
11192,1/1/9999,Apostol,Bahr,Engineer
11197,1/1/9999,Tadahiro,Fordan,Senior Staff
11201,1/1/9999,Jouko,Masaki,Staff
11204,1/1/9999,Diederik,Covnot,Technique Leader
11207,1/1/9999,Saeed,Gips,Engineer
11208,1/1/9999,Saniya,Valtorta,Technique Leader
11211,1/1/9999,Yurij,Rissland,Senior Engineer
11213,1/1/9999,Vugranam,Munoz,Technique Leader
11217,1/1/9999,Kellie,Mawatari,Senior Engineer
11229,1/1/9999,Gretta,Ramamoorthy,Senior Engineer
11232,1/1/9999,Hidefumi,Crelier,Senior Staff
11233,1/1/9999,Sanjit,Waschkowski,Senior Engineer
11240,1/1/9999,Kiam,Condotta,Engineer
11243,1/1/9999,Udi,Desikan,Assistant Engineer
11249,1/1/9999,Randi,Cyre,Engineer
11251,1/1/9999,Bezalel,Chinal,Senior Staff
11253,1/1/9999,Koldo,Pokrovskii,Senior Engineer
11254,1/1/9999,Danel,Rindone,Staff
11258,1/1/9999,Aris,Maccarone,Senior Staff
11266,1/1/9999,Florina,Rohrbach,Senior Engineer
11267,1/1/9999,Shaunak,Zaumen,Senior Engineer
11268,1/1/9999,Aimee,Petersohn,Senior Engineer
11274,1/1/9999,Masanao,Nicolson,Staff
11275,1/1/9999,Hitomi,Eppinger,Senior Engineer
11289,1/1/9999,Chuanti,Cherinka,Senior Engineer
11290,1/1/9999,Visit,Dredge,Engineer
11292,1/1/9999,Souichi,Sichman,Senior Engineer
11294,1/1/9999,Tru,Segond,Senior Engineer
11295,1/1/9999,Abdelkader,Lanzelotte,Senior Staff
11296,1/1/9999,Hironobu,Kenevan,Senior Engineer
11301,1/1/9999,Mingzeng,Oxenboll,Senior Staff
11317,1/1/9999,Shigeaki,Hagimont,Senior Staff
11319,1/1/9999,Pranas,Marrakchi,Assistant Engineer
11320,1/1/9999,Atilio,McAlpine,Senior Staff
11322,1/1/9999,Nathalie,Pocchiola,Senior Engineer
11324,1/1/9999,Kauko,Billingsley,Senior Engineer
11325,1/1/9999,Samphel,Rossi,Engineer
11326,1/1/9999,Munenori,Plesums,Senior Engineer
11338,1/1/9999,Kwangsub,Hanratty,Senior Staff
11339,1/1/9999,Flemming,Massonet,Senior Engineer
11340,1/1/9999,Aris,Bala,Senior Engineer
11343,1/1/9999,Susanne,Erez,Senior Engineer
11347,1/1/9999,Anneli,Jonsson,Senior Engineer
11349,1/1/9999,Yurii,Hammerschmidt,Engineer
11360,1/1/9999,Fen,Schach,Senior Staff
11365,1/1/9999,Toshimi,Shinomoto,Engineer
11373,1/1/9999,Yongmao,Keohane,Senior Staff
11376,1/1/9999,Valery,Suomi,Senior Staff
11380,1/1/9999,Kenroku,Pelc,Senior Engineer
11385,1/1/9999,Shiv,Ullian,Engineer
11386,1/1/9999,Alselm,Assaf,Senior Engineer
11393,1/1/9999,Junsik,Junot,Senior Engineer
11396,1/1/9999,Anneke,Servieres,Engineer
11398,1/1/9999,Oscar,Peir,Senior Staff
11401,1/1/9999,Huan,Merey,Staff
11404,1/1/9999,Bedrich,Borovoy,Technique Leader
11406,1/1/9999,Eberhardt,Gini,Senior Staff
11410,1/1/9999,Gro,Vendrig,Engineer
11415,1/1/9999,Sanjiv,Anido,Engineer
11417,1/1/9999,Anneli,Cyne,Technique Leader
11418,1/1/9999,Satosi,Cooley,Senior Staff
11420,1/1/9999,Tsutomu,Lalonde,Senior Staff
11421,1/1/9999,Josyula,Msuda,Senior Engineer
11423,1/1/9999,Guangming,Kopetz,Staff
11425,1/1/9999,Renee,Crelier,Senior Engineer
11441,1/1/9999,Marlo,Aingworth,Senior Staff
11446,1/1/9999,Naftali,Narahara,Senior Engineer
11449,1/1/9999,Kotesh,Asser,Senior Engineer
11451,1/1/9999,Eben,Rajaraman,Senior Engineer
11452,1/1/9999,Shigehito,Luby,Senior Staff
11459,1/1/9999,Duke,Suomi,Senior Staff
11460,1/1/9999,Mana,Maraist,Senior Engineer
11469,1/1/9999,Guttorm,Giaccio,Senior Engineer
11474,1/1/9999,Gennady,Akazan,Engineer
11476,1/1/9999,Manton,Yoshizawa,Staff
11479,1/1/9999,Shridhar,Pleszkun,Staff
11503,1/1/9999,Nathan,Picht,Senior Engineer
11506,1/1/9999,Rance,Picel,Staff
11509,1/1/9999,Aleksander,Feldhoffer,Senior Engineer
11513,1/1/9999,Otmar,Mahnke,Senior Staff
11515,1/1/9999,Ulf,Basawa,Staff
11518,1/1/9999,Jinxi,Oxman,Senior Staff
11519,1/1/9999,Halsur,Chinen,Senior Staff
11523,1/1/9999,Yuguang,Pezzoli,Engineer
11524,1/1/9999,Xiadong,Standera,Senior Engineer
11527,1/1/9999,Alagu,Boyle,Staff
11528,1/1/9999,Zito,Dolinsky,Technique Leader
11531,1/1/9999,Radhika,Motley,Technique Leader
11533,1/1/9999,Vitaly,Lorch,Technique Leader
11537,1/1/9999,DAIDA,Pehl,Senior Staff
11540,1/1/9999,Chanjung,Portugali,Senior Engineer
11554,1/1/9999,Subhash,Taubenfeld,Staff
11555,1/1/9999,Kotesh,Perfilyeva,Senior Staff
11567,1/1/9999,Teiji,Mitzlaff,Senior Staff
11568,1/1/9999,Martins,Fujisaki,Senior Engineer
11573,1/1/9999,Pranas,Hutton,Senior Engineer
11575,1/1/9999,Godehard,Plotkin,Engineer
11577,1/1/9999,Mayumi,Deyuan,Senior Engineer
11581,1/1/9999,Patricio,Rosenbaum,Senior Engineer
11587,1/1/9999,Shem,Zambonelli,Senior Engineer
11589,1/1/9999,Gina,Plessier,Senior Engineer
11595,1/1/9999,Takanari,Kamber,Senior Staff
11596,1/1/9999,Yannik,Gunderson,Staff
11602,1/1/9999,Somnath,Malabarba,Senior Staff
11603,1/1/9999,Herb,Swen,Senior Staff
11606,1/1/9999,Perry,Pepe,Senior Staff
11607,1/1/9999,Tomokazu,Foong,Engineer
11615,1/1/9999,Shem,Isaak,Senior Staff
11616,1/1/9999,Zhilian,Brendel,Engineer
11624,1/1/9999,Adil,Gammage,Senior Engineer
11628,1/1/9999,Fan,Malinowski,Senior Engineer
11640,1/1/9999,Valeri,Coorg,Senior Engineer
11641,1/1/9999,Chikako,Rothenberg,Senior Engineer
11644,1/1/9999,Sanjit,Zaiane,Assistant Engineer
11646,1/1/9999,Lobel,Rubsam,Engineer
11647,1/1/9999,Magy,Nitsche,Senior Engineer
11649,1/1/9999,Shen,Bernardinello,Technique Leader
11660,1/1/9999,Gill,Stenning,Senior Staff
11664,1/1/9999,Oksana,Brizzi,Senior Staff
11667,1/1/9999,Kristian,Marchegay,Senior Staff
11673,1/1/9999,Henk,Felder,Technique Leader
11676,1/1/9999,Valeri,Ferriere,Engineer
11681,1/1/9999,Fumitake,Benzmuller,Senior Engineer
11684,1/1/9999,Oksana,Gide,Senior Staff
11690,1/1/9999,Domenick,Raczkowsky,Staff
11693,1/1/9999,Hideo,Coorg,Senior Engineer
11696,1/1/9999,Dante,Rothe,Senior Staff
11713,1/1/9999,Danel,Heusch,Senior Engineer
11732,1/1/9999,Sanjoy,Ranft,Senior Engineer
11733,1/1/9999,Leszek,Sudbeck,Senior Engineer
11735,1/1/9999,Amalendu,Picci,Senior Staff
11736,1/1/9999,Shugo,Uchoa,Senior Engineer
11737,1/1/9999,Martina,Garnier,Assistant Engineer
11746,1/1/9999,Koichi,Marrakchi,Senior Staff
11748,1/1/9999,Lihong,Massonet,Engineer
11751,1/1/9999,Jiafu,Emiris,Senior Staff
11756,1/1/9999,Abdelwaheb,Vakili,Engineer
11763,1/1/9999,Yuriy,Liesche,Engineer
11764,1/1/9999,Sanjay,Anick,Senior Engineer
11765,1/1/9999,Zorica,Junet,Senior Staff
11769,1/1/9999,Chandrasekaran,Lampe,Senior Staff
11770,1/1/9999,Arumugam,Jakobus,Senior Engineer
11772,1/1/9999,Gaurav,Penz,Engineer
11774,1/1/9999,Aron,Wroclawski,Engineer
11778,1/1/9999,Dhritiman,Fontan,Senior Engineer
11779,1/1/9999,Shunichi,Thombley,Staff
11791,1/1/9999,Gal,Mamelak,Senior Engineer
11797,1/1/9999,Chenxi,Thambidurai,Senior Staff
11801,1/1/9999,Tommaso,Dayang,Senior Staff
11807,1/1/9999,Chriss,Binding,Technique Leader
11810,1/1/9999,Amabile,Bhattacharjee,Senior Engineer
11811,1/1/9999,Herb,Boissier,Senior Staff
11817,1/1/9999,Niranjan,Markovitch,Senior Staff
11822,1/1/9999,Sastry,Madeira,Staff
11823,1/1/9999,Weiyi,Iacovou,Senior Engineer
11829,1/1/9999,Chaosheng,Pettis,Assistant Engineer
11832,1/1/9999,Arto,Zlotek,Engineer
11836,1/1/9999,Ortrud,Bakhtari,Senior Staff
11841,1/1/9999,Elvia,Bugrara,Staff
11842,1/1/9999,Moto,Piazza,Senior Staff
11844,1/1/9999,Shawna,Demeyer,Senior Engineer
11846,1/1/9999,Fai,Perly,Senior Engineer
11853,1/1/9999,Zeljko,Kusakabe,Senior Staff
11857,1/1/9999,Divier,Farrag,Senior Staff
11862,1/1/9999,Alejandra,Deville,Senior Engineer
11864,1/1/9999,Pradeep,Kriebel,Staff
11868,1/1/9999,Kwee,Demke,Engineer
11869,1/1/9999,Fumino,Luca,Engineer
11871,1/1/9999,Nalini,Sommen,Senior Engineer
11872,1/1/9999,Cheong,Riexinger,Senior Staff
11876,1/1/9999,Leszek,Kobuchi,Senior Engineer
11881,1/1/9999,Arra,Staelin,Senior Staff
11888,1/1/9999,Badri,Azulay,Senior Staff
11894,1/1/9999,Mitchel,Validov,Senior Engineer
11896,1/1/9999,Shaunak,Benzmuller,Technique Leader
11897,1/1/9999,Cordelia,Setlzner,Senior Staff
11906,1/1/9999,Hideo,Boguraev,Engineer
11911,1/1/9999,Ashish,Mondadori,Senior Engineer
11915,1/1/9999,Miomir,Mawatari,Senior Engineer
11917,1/1/9999,Jiakeng,VanScheik,Engineer
11926,1/1/9999,Leni,Felcyn,Engineer
11931,1/1/9999,Gunilla,Chiodo,Senior Staff
11933,1/1/9999,Basil,Erman,Senior Engineer
11938,1/1/9999,Aruna,Verspoor,Staff
11940,1/1/9999,Ult,Anido,Assistant Engineer
11944,1/1/9999,Along,Aumann,Senior Engineer
11945,1/1/9999,Limsoon,Marakhovsky,Staff
11948,1/1/9999,Yahiko,Nergos,Senior Engineer
11949,1/1/9999,Martijn,Harbusch,Technique Leader
11951,1/1/9999,Bernt,Haumacher,Senior Engineer
11965,1/1/9999,Arup,Morrey,Engineer
11972,1/1/9999,Sibyl,Beausoleil,Senior Staff
11980,1/1/9999,Yechezkel,Pews,Staff
11983,1/1/9999,Jaana,Hedayat,Senior Engineer
11989,1/1/9999,Erzsebet,Peltason,Technique Leader
11993,1/1/9999,Marit,Dalphin,Senior Staff
11994,1/1/9999,Sigeru,Fiebach,Senior Staff
12007,1/1/9999,Marko,Dehkordi,Senior Engineer
12011,1/1/9999,Zhilian,Coorg,Senior Staff
12015,1/1/9999,Kensei,Guenter,Staff
12021,1/1/9999,Chikara,Rahimi,Senior Engineer
12023,1/1/9999,Chuanyi,Eppinger,Technique Leader
12024,1/1/9999,Mayumi,Lanzelotte,Staff
12028,1/1/9999,Ingemar,Walstra,Senior Engineer
12030,1/1/9999,Shuky,Cromarty,Staff
12034,1/1/9999,Aemilian,Piazza,Staff
12036,1/1/9999,Mads,Ratzlaff,Senior Staff
12037,1/1/9999,Arunas,Katzenelson,Senior Staff
12040,1/1/9999,Bluma,Kermarrec,Senior Staff
12043,1/1/9999,Masaki,Lubachevsky,Staff
12044,1/1/9999,Rance,Hemaspaandra,Senior Engineer
12047,1/1/9999,Jordanka,Ligten,Assistant Engineer
12050,1/1/9999,Yuchang,Tchuente,Engineer
12053,1/1/9999,Yechezkel,Pelc,Senior Engineer
12054,1/1/9999,Odysseas,Braccini,Staff
12060,1/1/9999,Toshimi,Antonakopoulos,Technique Leader
12062,1/1/9999,Margareta,Worfolk,Senior Staff
12063,1/1/9999,Lein,Bale,Senior Engineer
12069,1/1/9999,Ayonca,Burnard,Senior Engineer
12070,1/1/9999,Ger,Shokrollahi,Technique Leader
12076,1/1/9999,Karlis,Siprelle,Senior Staff
12080,1/1/9999,Panayotis,Feinberg,Senior Staff
12082,1/1/9999,Xinan,Yamaashi,Senior Staff
12089,1/1/9999,Bilhanan,Socorro,Senior Staff
12090,1/1/9999,Shigenori,Angelopoulos,Engineer
